名称,大类,中类,地址,经度,纬度,省份,城市,区域,交通设施,休闲娱乐,购物消费,医疗保健,运动健身,科教文化,餐饮美食,旅游景点
上海城建学院专家公寓,商务住宅,其他,一号路附近,121.55505,31.32604,上海市,上海市,杨浦区,0.01506279871939348,0.12048828211208355,0.039428949101885595,0.008823848872158858,0.009218542879255805,0.047846912967620676,0.010280541702936132,0.022537609112853695
上海城建学院十单元宿舍,商务住宅,宿舍,[],121.556074,31.325097,上海市,上海市,杨浦区,0.008120832399586218,0.12090308423888044,0.031980240602987105,0.004319346454370771,0.006772040548085396,0.03291875872763905,0.004825474167516889,0.017739006325819418
上海城建学院九单元宿舍,商务住宅,宿舍,军工路2360号,121.556975,31.325053,上海市,上海市,杨浦区,0.0,0.1098394251308995,0.024576578136011218,0.0,0.0,0.01708058738259769,0.0,0.010158472932611568
上海城建学院八单元宿舍楼,商务住宅,宿舍,[],121.556521,31.325094,上海市,上海市,杨浦区,0.003901317891589938,0.11521955923128212,0.028093407794659943,0.002068898291158409,0.003222293800053799,0.024615795835585166,0.002285099284255899,0.013802737128030757
上海城市管理职业技术学院杨浦分校第二单元南楼,商务住宅,宿舍,军工路2394附近,121.555451,31.326673,上海市,上海市,杨浦区,0.008746459868033825,0.10645099623742546,0.033320466198113886,0.005207915159048426,0.0016980827786729357,0.035080921896186536,0.0063533639139154935,0.015164381650020877
上海城市管理职业技术学院杨浦分校第三单元南楼,商务住宅,宿舍,军工路2398号附近,121.555327,31.326967,上海市,上海市,杨浦区,0.00901061501202385,0.10337688277924888,0.033742007231631684,0.005330276145459954,0.0009576747382723153,0.03522190488553203,0.00664802992974138,0.01460528524185008
上海城市管理职业技术学院杨浦分校第一单元南楼,商务住宅,宿舍,军工路2394附近,121.555569,31.326461,上海市,上海市,杨浦区,0.008283261117911077,0.10824396690104783,0.03275000565440998,0.0049429952643556055,0.0020193717848756777,0.034348911120162924,0.005941157424304206,0.015276014301786886
上海城市管理职业技术学院杨浦分校第二单元北楼,商务住宅,宿舍,军工路2394附近,121.555398,31.326747,上海市,上海市,杨浦区,0.009027614968141678,0.10593581590928111,0.03364393586862844,0.005363815976868573,0.0016826412617113003,0.035544807037352265,0.006577744532832243,0.01522760530881539
上海城市管理职业技术学院杨浦分校第四单元南楼,商务住宅,宿舍,[],121.555121,31.327172,上海市,上海市,杨浦区,0.010395205606771117,0.1024304715761646,0.035300919785597344,0.006079495878027284,0.001440708468395475,0.037503931164835386,0.007692351358556867,0.0152856791814007
上海城市管理职业技术学院杨浦分校第一单元北楼,商务住宅,宿舍,军工路2394附近,121.555502,31.326518,上海市,上海市,杨浦区,0.008754355418015537,0.10817588297633655,0.033250202435179656,0.00521184144040879,0.002223496932357317,0.035230010908621795,0.006289406741500905,0.015570182886864466
双喜家园,商务住宅,住宅区,杨树浦路1177弄7号,121.533402,31.253967,上海市,上海市,杨浦区,0.4155164572535702,0.10960776625492673,0.2743460323248543,0.3662295846414785,0.11841298967805876,0.3971725747603591,0.2398868544459971,0.24986543496716704
中企滨江智慧广场,商务住宅,写字楼,杨树浦路1366号,121.537235,31.254202,上海市,上海市,杨浦区,0.3535994834516693,0.09852990935096799,0.23872956330499434,0.344771606523738,0.09212134745180159,0.3440934950223522,0.22236802531475547,0.20841106796485265
东方渔人码头,商务住宅,写字楼,平凉路街道杨树浦路1088号,121.532162,31.251969,上海市,上海市,杨浦区,0.337191988148426,0.08052105211764982,0.208924369977873,0.2861467618767793,0.08778099251637203,0.31461268597886216,0.17790527809668757,0.192823302418541
Prodor柏凡,酒店住宿,五星级宾馆,安浦路579号,121.534716,31.252084,上海市,上海市,杨浦区,0.31013178842552885,0.07445249985940716,0.1900819915603109,0.28476480688327493,0.07189552667158007,0.28818772014125577,0.1745970403499453,0.17473623774440797
杨树浦路1111弄小区,商务住宅,住宅区,福宁路与江浦路交叉口东80米,121.53234,31.253608,上海市,上海市,杨浦区,0.41231013428995983,0.10644254908480655,0.2692886698174367,0.35300289136575197,0.11876521784284125,0.3940277893448756,0.22967048153332947,0.24683034927451544
山鹰国际总部大楼,商务住宅,其他,安浦路645号滨江国际广场6号楼,121.531257,31.251132,上海市,上海市,杨浦区,0.30725310588822513,0.07241739096365651,0.18768366539870662,0.25028293242316224,0.0784294333861966,0.2864642340758829,0.15408439936610488,0.17158711135872678
双喜公寓,商务住宅,住宅区,[],121.533807,31.253753,上海市,上海市,杨浦区,0.3993820210893557,0.10458707479988695,0.2616892083077642,0.35648021451749157,0.11099952697566601,0.3802000888805607,0.2314818244523344,0.2385329022757487
山金保利金融广场(建设中),商务住宅,其他,杨树浦路1198号,121.534834,31.253214,上海市,上海市,杨浦区,0.35822272651569714,0.09209247488782797,0.22958675534441686,0.3295704378014037,0.092672896520151,0.33864173158459904,0.2094676750897269,0.20953386759048973
