名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
上海城建学院专家公寓,商务住宅,其他,一号路附近,121.55505,31.32604,上海市,上海市,杨浦区,0.18568611047797717,0.14263125638113416,0.1834300227914624,0.18388874886725387,0.15021910617038925
上海城建学院十单元宿舍,商务住宅,宿舍,[],121.556074,31.325097,上海市,上海市,杨浦区,0.18449216098871354,0.1426883930364314,0.18336868038051204,0.18369154691297254,0.15006619961191994
上海城建学院九单元宿舍,商务住宅,宿舍,军工路2360号,121.556975,31.325053,上海市,上海市,杨浦区,0.18366590595663326,0.14122161087200544,0.18333333333333338,0.18346201364375955,0.14999999999999997
上海城建学院八单元宿舍楼,商务住宅,宿舍,[],121.556521,31.325094,上海市,上海市,杨浦区,0.18399911987229697,0.14192682527275444,0.1833502622750001,0.18354942580025513,0.15003179540748657
上海城市管理职业技术学院杨浦分校第二单元南楼,商务住宅,宿舍,军工路2394附近,121.555451,31.326673,上海市,上海市,杨浦区,0.18463648160539292,0.1407970874619094,0.1833759536374951,0.1835913264568703,0.1500713020974951
上海城市管理职业技术学院杨浦分校第三单元南楼,商务住宅,宿舍,军工路2398号附近,121.555327,31.326967,上海市,上海市,杨浦区,0.1846459009098871,0.1404154446066923,0.1833769552525633,0.18356957845724065,0.1500753520831196
上海城市管理职业技术学院杨浦分校第一单元南楼,商务住宅,宿舍,军工路2394附近,121.555569,31.326461,上海市,上海市,杨浦区,0.1845875923633885,0.1410212143474075,0.18337378511063013,0.18359566946010447,0.15006752431215573
上海城市管理职业技术学院杨浦分校第二单元北楼,商务住宅,宿舍,军工路2394附近,121.555398,31.326747,上海市,上海市,杨浦区,0.18466747865844432,0.14073289816939558,0.18337722980280707,0.18359378610935423,0.150075755467068
上海城市管理职业技术学院杨浦分校第四单元南楼,商务住宅,宿舍,[],121.555121,31.327172,上海市,上海市,杨浦区,0.18481261747739827,0.1402986138232549,0.18338308841259907,0.18359604547699224,0.15010821387504916
上海城市管理职业技术学院杨浦分校第一单元北楼,商务住宅,宿舍,军工路2394附近,121.555502,31.326518,上海市,上海市,杨浦区,0.18464644251986104,0.14101268285601223,0.18337598577683548,0.18360711497454255,0.15007136649420172
双喜家园,商务住宅,住宅区,杨树浦路1177弄7号,121.533402,31.253967,上海市,上海市,杨浦区,0.6583308378940784,0.1705074088708273,0.5429331510217645,0.22735095990780685,0.5687720920911546
中企滨江智慧广场,商务住宅,写字楼,杨树浦路1366号,121.537235,31.254202,上海市,上海市,杨浦区,0.45913525607750244,0.1630677264818889,0.4618203243601289,0.21973821613646416,0.4363462237314492
东方渔人码头,商务住宅,写字楼,平凉路街道杨树浦路1088号,121.532162,31.251969,上海市,上海市,杨浦区,0.3251502797197765,0.1572235440834699,0.23800368944660866,0.21207348797696857,0.38055492438338834
Prodor柏凡,酒店住宿,五星级宾馆,安浦路579号,121.534716,31.252084,上海市,上海市,杨浦区,0.2386208717602381,0.15374332359242746,0.2375962047028825,0.20768183109515176,0.2584342597276404
杨树浦路1111弄小区,商务住宅,住宅区,福宁路与江浦路交叉口东80米,121.53234,31.253608,上海市,上海市,杨浦区,0.6461048549774151,0.1694421570983666,0.49375583575812376,0.22650058815461374,0.5689214529336648
山鹰国际总部大楼,商务住宅,其他,安浦路645号滨江国际广场6号楼,121.531257,31.251132,上海市,上海市,杨浦区,0.23809847256565014,0.1533083445356343,0.22746898446934952,0.20693905685159517,0.24196475532109182
双喜公寓,商务住宅,住宅区,[],121.533807,31.253753,上海市,上海市,杨浦区,0.5942658306657268,0.16781678589003382,0.5068379957433403,0.22416576880854835,0.5677737943361827
山金保利金融广场(建设中),商务住宅,其他,杨树浦路1198号,121.534834,31.253214,上海市,上海市,杨浦区,0.43714251875839677,0.16123815833629485,0.39821306621445846,0.21634200185601854,0.4507530758315793
